Origin,Target,Type,Number of Connections,Neurotransmitter
ADAL,ADAR,GapJunction,1,Generic_GJ
ADAL,ADFL,GapJunction,1,Generic_GJ
ADAL,AIBL,Send,1,Glutamate
ADAL,AIBR,Send,2,Glutamate
ADAL,ASHL,GapJunction,1,Generic_GJ
ADAL,AVAR,Send,2,Glutamate
ADAL,AVBL,Send,4,Glutamate
ADAL,AVBR,Send,7,Glutamate
ADAL,AVDL,Send,1,Glutamate
ADAL,AVDR,GapJunction,2,Generic_GJ
ADAL,AVEL,Send,1,Glutamate
ADAL,AVJR,Send,5,Glutamate
ADAL,FLPR,Send,1,Glutamate
ADAL,PVQL,GapJunction,1,Generic_GJ
ADAL,RICL,Send,1,Glutamate
ADAL,RICR,Send,1,Glutamate
ADAL,RIML,Send,3,Glutamate
ADAL,RIPL,Send,1,Glutamate
ADAL,SMDVR,Send,2,Glutamate
ADAR,ADAL,GapJunction,1,Generic_GJ
ADAR,ADFR,GapJunction,1,Generic_GJ
ADAR,AIBL,Send,1,Glutamate
ADAR,AIBR,Send,1,Glutamate
ADAR,ASHR,GapJunction,1,Generic_GJ
ADAR,AVAL,Send,1,Glutamate
ADAR,AVBL,Send,1,Glutamate
ADAR,AVBR,Send,5,Glutamate
ADAR,AVDL,GapJunction,2,Generic_GJ
ADAR,AVEL,Send,1,Glutamate
ADAR,AVJL,Send,3,Glutamate
ADAR,PVQR,GapJunction,1,Generic_GJ
ADAR,RICL,Send,1,Glutamate
ADAR,RIMR,Send,5,Glutamate
ADAR,RIPR,Send,1,Glutamate
ADAR,RIVR,Send,1,Glutamate
ADAR,SMDVL,Send,2,Glutamate
ADEL,ADAL,Send,1,Dopamine
ADEL,ADER,Send,1,Dopamine
ADEL,AINL,GapJunction,1,Generic_GJ
ADEL,AVAL,Send,2,Dopamine
ADEL,AVAR,Send,3,Dopamine
ADEL,AVEL,Send,1,Dopamine
ADEL,AVKR,GapJunction,1,Generic_GJ
ADEL,AVL,Send,1,Dopamine
ADEL,BDUL,Send,1,Dopamine
ADEL,CEPDL,Send,1,Dopamine
ADEL,FLPL,Send,1,Dopamine
ADEL,IL1L,Send,1,Dopamine
ADEL,IL2L,Send,1,Dopamine
ADEL,OLLL,Send,1,Dopamine
ADEL,RIAL,Send,1,Dopamine
ADEL,RIFL,Send,1,Dopamine
ADEL,RIGL,Send,5,Dopamine
ADEL,RIGR,Send,3,Dopamine
ADEL,RIH,Send,2,Dopamine
ADEL,RIVL,Send,1,Dopamine
ADEL,RIVR,Send,1,Dopamine
ADEL,RMDL,Send,2,Dopamine
ADEL,RMGL,Send,1,Dopamine
ADEL,RMHL,Send,1,Dopamine
ADEL,SIADR,Send,1,Dopamine
